state,x,y
Andhra Pradesh,-54.0,-207.0
Arunachal Pradesh,317.0,161.0
Assam,272.0,105.0
Bihar,116.0,92.0
Chhattisgarh,0.0,-28.0
Goa,-199.0,-179.0
Gujarat,-225.0,52.0
Haryana,-115.0,190.0
Himachal Pradesh,-72.0,259.0
Jharkhand,87.0,31.0
Karnataka,-172.0,-225.0
Kerala,-149.0,-297.0
Madhya Pradesh,-112.0,18.0
Maharashtra,-198.0,-85.0
Manipur,310.0,58.0
Meghalaya,217.0,78.0
Mizoram,283.0,17.0
Nagaland,323.0,93.0
Odisha,62.0,-55.0
Punjab,-141.0,233.0
Rajasthan,-231.0,130.0
Sikkim,180.0,138.0
Tamil Nadu,-86.0,-306.0
Telangana,-67.0,-123.0
Tripura,252.0,22.0
Uttar Pradesh,-10.0,123.0
Uttarakhand,-43.0,221.0
West Bengal,142.0,17.0
Jammu & Kashmir,-160.0,307.0
Ladakh,-58.0,291.0
